fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,q_max,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,np_100,n_nub,np_001,ta_min,e,np_300,nv_1000,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,q_mar,inso,p_sol,evap,nw_55,w_racha,nw_91,w_rec,ts_20,ts_10,ts_50,glo
1964-7,2462,7.6(06),3.0,59.0,0.0,1.0,824.2(17),817.7,11.6,25.6(16),16.4,0.0,0.0,7.0,0.0,21.0,5.0,4.6(07),111.0,0.0,0.0,10.5,6.0,2.0,7.0,0.0,10.2,0.0,16.2,20.7,1.0,812.1(06),2.0,1015.8,10.2,69.0,2528.0,,,,,,,,
1964-8,2462,1.2(05),1.0,55.0,0.0,3.0,822.1(01),815.7,10.5,26.6(05),16.2,0.0,0.0,10.0,0.0,20.0,2.0,3.6(22),102.0,0.0,0.0,1.4,2.0,0.0,7.0,0.0,14.6,0.0,16.1,21.6,3.0,807.8(14),1.0,1013.5,10.8,79.0,2782.0,,,,,,,,
1964-9,2462,24.9(29),8.0,59.0,0.0,3.0,823.1(18),818.1,10.7,25.3(02),16.0,0.0,0.0,4.0,4.0,18.0,8.0,3.0(30),96.0,0.0,3.0,87.7,9.0,1.0,13.0,0.0,8.0,0.0,15.0,19.4,1.0,808.9(04),8.0,1017.7,6.7,54.0,2267.0,,,,,,,,
1964-10,2462,28.7(12),14.0,79.0,0.0,5.0,822.9(06),813.5,1.0,19.4(06),10.0,0.0,0.0,10.0,4.0,7.0,9.0,-6.8(25),69.0,0.0,1.0,98.3,8.0,0.0,15.0,17.0,0.2,2.0,4.6,8.1,12.0,798.6(13),9.0,1020.0,4.9,45.0,,,,,,,,,
1964-11,2462,13.2(28),8.0,61.0,0.0,1.0,823.4(19),814.2,1.6,17.2(19),10.6,0.0,0.0,12.0,1.0,10.0,8.0,-7.0(29),47.0,0.0,0.0,35.1,4.0,0.0,3.0,11.0,-5.2,5.0,4.7,7.7,8.0,794.5(05),6.0,1021.3,5.1,52.0,,,,,,,,,
1964-12,2462,46.6(21),18.0,88.0,0.0,10.0,821.1(08),807.4,-4.5,6.8(06),2.2,0.0,0.0,6.0,8.0,7.0,14.0,-10.4(20),45.0,1.0,0.0,197.9,0.0,0.0,6.0,29.0,-8.0,15.0,-2.3,-0.1,19.0,793.9(28),13.0,1018.6,3.0,32.0,,,,,,,,,
1964-13,2462,63.2(23/feb),128.0,72.0,5.0,80.0,824.2(17/jul),812.8,2.6,26.6(05/ago),16.4,0.0,0.0,75.0,45.0,163.0,121.0,-14.7(08/mar),72.0,6.0,15.0,1223.4,61.0,15.0,9.0,160.0,-8.0,71.0,6.4,10.2,99.0,791.1(11/mar),107.0,1017.8,6.2,50.0,,,,,,,,,
1965-1,2462,75.6(29),19.0,89.0,0.0,19.0,819.8(16),808.1,-4.9,8.8(24),0.0,0.0,0.0,5.0,7.0,7.0,17.0,-13.9(05),47.0,2.0,1.0,265.6,2.0,0.0,11.0,31.0,-9.0,16.0,-2.3,0.3,21.0,789.8(27),17.0,1019.3,2.7,28.0,,,,,,,,,
1965-2,2462,25.6(22),9.0,87.0,0.0,10.0,818.6(03),808.9,-6.7,4.8(04),1.2,0.0,0.0,10.0,4.0,9.0,10.0,-14.4(19),43.0,0.0,2.0,113.2,3.0,0.0,5.0,26.0,-5.6,10.0,-3.5,-0.4,12.0,794.2(28),10.0,1021.6,5.4,51.0,,,,,,,,,
1965-3,2462,47.4(04),22.0,84.0,0.0,17.0,824.6(26),810.7,-2.4,12.2(30),4.2,0.0,0.0,5.0,7.0,4.0,20.0,-11.4(08),52.0,2.0,2.0,243.2,7.0,0.0,11.0,19.0,-8.0,15.0,0.1,2.5,18.0,785.8(01),18.0,1020.4,3.7,31.0,,,,,,,,,
1965-4,2462,5.0(10),15.0,79.0,0.0,11.0,819.8(02),810.9,-1.4,13.2(17),3.4,0.0,1.0,1.0,0.0,14.0,9.0,-8.8(21),57.0,0.0,1.0,18.9,8.0,0.0,10.0,21.0,-1.2,4.0,2.2,5.8,10.0,801.4(05),6.0,1018.9,5.8,43.0,469.0,,,,,,,,
1965-5,2462,20.8(17),3.0,56.0,0.0,0.0,821.8(09),813.7,5.0,22.3(12),13.6,0.0,0.0,13.0,2.0,15.0,4.0,-1.6(19),63.0,0.0,2.0,50.2,4.0,2.0,5.0,6.0,4.2,2.0,9.6,14.2,2.0,803.4(30),4.0,1016.4,9.8,67.0,1296.0,,,,,,,,
1965-6,2462,14.4(07),7.0,56.0,0.0,3.0,821.6(20),815.4,9.0,25.8(28),17.0,0.0,0.0,9.0,1.0,14.0,5.0,-1.0(08),87.0,0.0,0.0,32.8,4.0,2.0,10.0,2.0,5.2,4.0,13.7,18.4,3.0,805.6(07),4.0,1015.1,10.4,69.0,1838.0,,,,,,,,
1965-7,2462,9.4(04),1.0,50.0,0.0,2.0,820.0(11),815.1,9.1,27.4(30),14.8,0.0,0.0,17.0,0.0,13.0,2.0,0.6(08),82.0,0.0,0.0,17.0,2.0,1.0,9.0,0.0,11.0,0.0,14.6,20.2,2.0,810.2(23),2.0,1014.0,12.4,84.0,1968.0,,,,,,,,
